ISO code,Country and areas,Note,Indicator,Measure,Estimate,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,Afghanistan,,malnutrtion,Proportion,Point Estimate,29.95,30.05,29.9,29.7,29.5,29.200000000000003,28.85,28.4,27.8,27.05,26.3,25.45,24.65,23.9,23.2,22.6,21.95,21.35,20.700000000000003,20.1,19.55,18.9,18.4
ALB,Albania,,malnutrtion,Proportion,Point Estimate,23.6,24.200000000000003,24.7,25.15,25.35,25.4,25.15,24.6,23.8,22.85,21.75,20.6,19.4,18.2,17.1,16.0,14.9,13.95,13.05,12.3,11.7,11.2,10.85
DZA,Algeria,,malnutrtion,Proportion,Point Estimate,17.55,17.5,17.4,17.25,17.0,16.75,16.4,15.95,15.4,14.75,14.1,13.45,12.8,12.3,11.8,11.45,11.2,10.9,10.7,10.55,10.4,10.25,10.25
AGO,Angola,,malnutrtion,Proportion,Point Estimate,24.6,23.2,21.85,20.6,19.450000000000003,18.55,17.85,17.35,16.95,16.85,16.9,17.05,17.4,17.9,18.6,19.4,20.25,21.05,21.85,22.5,23.05,23.45,23.75
ARG,Argentina,,malnutrtion,Proportion,Point Estimate,10.05,9.85,9.7,9.55,9.4,9.3,9.15,9.1,9.05,9.0,9.0,8.95,9.05,9.1,9.3,9.45,9.6,9.85,9.95,10.2,10.45,10.75,11.05
ARM,Armenia,,malnutrtion,Proportion,Point Estimate,14.55,15.35,16.1,16.75,17.299999999999997,17.65,17.799999999999997,17.6,17.25,16.7,16.0,15.2,14.45,13.65,12.9,12.2,11.5,10.9,10.4,9.95,9.65,9.4,9.35
AUS,Australia,,malnutrtion,Proportion,Point Estimate,4.0,4.15,4.4,4.7,5.1,5.5,5.85,6.3,6.75,7.15,7.6,8.05,8.45,8.9,9.3,9.75,10.15,10.6,11.05,11.45,11.85,12.2,12.6
AZE,Azerbaijan,,malnutrtion,Proportion,Point Estimate,15.7,16.0,16.3,16.549999999999997,16.8,16.9,16.9,16.7,16.4,16.05,15.7,15.25,14.8,14.4,13.95,13.6,13.2,12.85,12.55,12.25,12.05,11.8,11.7
BHR,Bahrain,,malnutrtion,Proportion,Point Estimate,10.9,10.3,9.9,9.6,9.3,9.0,8.7,8.3,8.0,7.6,7.3,7.0,6.8,6.5,6.3,6.2,6.0,5.8,5.6,5.4,5.3,5.1,5.0
BGD,Bangladesh,,malnutrtion,Proportion,Point Estimate,27.700000000000003,27.1,26.6,26.05,25.5,25.0,24.5,23.95,23.3,22.6,21.9,21.200000000000003,20.5,19.85,19.2,18.55,18.0,17.35,16.7,16.05,15.4,14.85,14.25
BRB,Barbados,,malnutrtion,Proportion,Point Estimate,8.55,8.7,8.8,8.95,9.05,9.2,9.3,9.45,9.55,9.6,9.6,9.65,9.65,9.7,9.7,9.7,9.7,9.7,9.65,9.55,9.45,9.35,9.25
