Country,Year,Value
Albania,2008,0.0078036683926114
Albania,2017,0.0027298534678841
Algeria,2012,0.0080941828596531
Algeria,2018,0.0054090931224494
Armenia,2010,0.0014206932237347
Armenia,2015,0.0006040731708453
Bangladesh,2014,0.174690899232157
Bangladesh,2019,0.101104304854035
Belize,2011,0.0302628190616136
Belize,2015,0.0199021615890313
Benin,2014,0.345990946823002
Benin,2017,0.362487807672065
Bolivia (Plurinational State of),2003,0.166649613755149
Bolivia (Plurinational State of),2008,0.0952693918039613
Bolivia (Plurinational State of),2016,0.0379805456896178
Bosnia and Herzegovina,2006,0.01536537796395
Bosnia and Herzegovina,2011,0.0083074962435723
Burkina Faso,2006,0.606617914788476
Burkina Faso,2010,0.574126116637864
Burundi,2010,0.463792411468291
Burundi,2016,0.408861094240493
Cambodia,2010,0.225413877412074
Cambodia,2014,0.168337310348114
Cambodia,2021,0.0703679147927832
Cameroon,2011,0.25811881180362
Cameroon,2014,0.243441690073664
Cameroon,2018,0.229380127037997
Central African Republic,2000,0.573400061932562
Central African Republic,2010,0.480583390498932
Central African Republic,2018,0.516465831561788
Chad,2010,0.60050341140732
Chad,2014,0.578073102175975
Chad,2019,0.562209209642428
China,2010,0.0409387649857119
China,2014,0.0175327265646745
Colombia,2010,0.0240766189356819
Colombia,2015,0.0196595349635455
Congo,2005,0.258250550297037
Congo,2014,0.114051001664675
Congo (Democratic Republic of the),2007,0.428370286938115
Congo (Democratic Republic of the),2013,0.375154075800953
Congo (Democratic Republic of the),2017,0.337462079979136
Côte d'Ivoire,2011,0.310195974710972
Côte d'Ivoire,2016,0.235870996100554
Dominican Republic,2007,0.029817897384963
Dominican Republic,2014,0.0142368269983446
Dominican Republic,2019,0.0108792434291359
Ecuador,2013,0.0186560805824483
Ecuador,2018,0.0112867631714733
Egypt,2008,0.0319777678740994
Egypt,2014,0.0183819612406224
Eswatini (Kingdom of),2010,0.129529775703171
Eswatini (Kingdom of),2014,0.0812571351668132
Ethiopia,2011,0.491362362329492
Ethiopia,2016,0.43618395227411
Ethiopia,2019,0.366726428076986
Gabon,2000,0.14497275196463
Gabon,2012,0.0682823364850802
Gambia,2005,0.386584943110168
Gambia,2013,0.339149092056388
Gambia,2018,0.257351860965973
Gambia,2019,0.241246799836479
Ghana,2011,0.152536055703641
Ghana,2014,0.129770865797408
Ghana,2017,0.11164560022193
Guinea,2012,0.42091839864222
Guinea,2016,0.335931856658973
Guinea,2018,0.363591491062426
Guinea-Bissau,2014,0.363034768159977
Guinea-Bissau,2018,0.340688723442969
Guyana,2009,0.0227249361888226
Guyana,2014,0.0137613049374016
Guyana,2019,0.0069292891263736
Haiti,2012,0.236923001034104
Haiti,2016,0.192024958017014
Honduras,2005,0.185944307888254
Honduras,2011,0.107662529207116
Honduras,2019,0.0486890271848002
India,2005,0.282680087601033
India,2015,0.121678927346692
India,2019,0.0688105643495505
Indonesia,2012,0.0276751752961537
Indonesia,2017,0.0139039084334274
Iraq,2011,0.0569992134324069
Iraq,2018,0.0326943223812881
