District,Year,WPR,Literacy,Child_Population_Growth,Risk_Factor
Adilabad,2025,35.963538,73.268893,-0.188710,0.136087
Agra,2025,19.123538,83.838893,0.008732,0.173064
Ahmadabad,2025,23.643538,97.568893,0.083177,0.141353
Ahmadnagar,2025,36.203538,91.308893,-0.068610,0.106444
Aizawl,2025,31.303538,100.000000,0.121228,0.099868
Ajmer,2025,28.463538,81.588893,0.008543,0.172694
Akola,2025,30.023538,100.000000,-0.116444,0.064531
Alappuzha,2025,25.483538,100.000000,-0.163247,0.026303
Aligarh,2025,19.643538,79.778893,0.009063,0.187562
Allahabad,2025,23.143538,84.578893,-0.027293,0.155673
Almora,2025,35.573538,92.728893,-0.189009,0.065064
Alwar,2025,34.173538,82.978893,-0.001092,0.159432
Ambala,2025,20.653538,94.008893,-0.061191,0.113060
Ambedkar Nagar,2025,20.513538,84.488893,-0.148694,0.121350
Amravati,2025,30.473538,99.638893,-0.141266,0.058996
Amreli,2025,31.073538,86.508893,-0.137835,0.107594
Amritsar,2025,23.098538,84.298893,-0.034802,0.154448
Anand,2025,28.043538,96.628893,-0.016268,0.110407
Anantapur,2025,37.563538,75.828893,-0.082117,0.157784
Anantnag,2025,23.803538,74.948893,0.165906,0.249327
Andaman Islands,2025,26.268538,98.778893,-0.085148,0.083129
Anugul,2025,29.003538,89.788893,-0.081867,0.114560
Araria,2025,25.723538,65.788893,0.207227,0.293740
Ariyalur,2025,35.343538,83.598893,-0.100277,0.125809
Auraiya,2025,19.713538,91.208893,-0.077884,0.119082
Aurangabad(Bihar),2025,20.653538,82.578893,0.131001,0.213605
Aurangabad,2025,30.223538,91.278893,0.126844,0.171700
Azamgarh,2025,17.413538,83.188893,-0.124892,0.136218
Badgam,2025,16.183538,68.338893,0.579784,0.406870
Bagalkot,2025,30.963538,81.078893,0.015087,0.174271
Bageshwar,2025,35.243538,92.268893,-0.148496,0.079419
Baghpat,2025,19.653538,84.268893,-0.061537,0.149551
Bahraich,2025,20.703538,61.618893,0.332744,0.351931
Balaghat,2025,40.153538,89.348893,-0.089330,0.103682
Balangir,2025,31.373538,76.978893,0.117106,0.220060
Baleshwar,2025,27.863538,92.048893,-0.036520,0.121168
Ballia,2025,19.143538,83.198893,-0.098761,0.142574
Balrampur,2025,23.053538,61.768893,0.151378,0.293862
Banas Kantha,2025,27.683538,77.578893,0.078012,0.209307
Banda,2025,26.673538,78.928893,-0.039508,0.169409
Bangalore,2025,31.813538,99.928893,0.351348,0.207092
Bangalore Rural,2025,35.423538,85.833893,-0.058969,0.130159
Banka,2025,25.573538,70.428893,0.133014,0.254223
Bankura,2025,28.443538,82.518893,-0.099151,0.136429
Banswara,2025,38.663538,68.588893,0.020382,0.214591
Barabanki,2025,24.253538,74.008893,-0.001673,0.201200
Baramula,2025,21.798538,72.713893,0.210839,0.273068
Baran,2025,32.863538,78.918893,-0.047845,0.161232
Barddhaman,2025,25.393538,88.468893,-0.090514,0.120062
Bareilly,2025,19.193538,70.748893,-0.036227,0.207228
Bargarh,2025,39.123538,86.878893,-0.077773,0.117202
Barmer,2025,33.853538,68.788893,0.139239,0.254548
Barpeta,2025,20.843538,76.068893,-0.079838,0.172914
Barwani,2025,34.853538,61.338893,0.104299,0.270258
Bastar,2025,38.798538,63.768893,0.022399,0.232740
Basti,2025,19.473538,79.478893,-0.050584,0.170607
Bathinda,2025,27.283538,80.538893,0.000488,0.175163
Baudh,2025,37.423538,83.868893,0.001711,0.154050
Begusarai,2025,19.253538,76.128893,0.123307,0.236167
Belgaum,2025,31.723538,85.738893,-0.007890,0.149489
