State,District,Literacy_2015,Literacy_2019,ChildPop_2015,ChildPop_2019,Sanitation_2015,Sanitation_2019,RiskScore_2015,RiskScore_2019
Andaman and Nicobar Island,Nicobar,0.772,0.78,0.254,0.23,0.8590000000000001,0.835,0.21229999999999996,0.20750000000000002
Andaman and Nicobar Island,North & Middle Andaman,0.838,0.8270000000000001,0.226,0.198,0.499,0.8640000000000001,0.2893,0.17189999999999997
Andaman and Nicobar Island,South Andaman,0.858,0.847,0.242,0.21,0.8440000000000001,0.893,0.18619999999999998,0.162
Andhra Pradesh,Anantapur,0.569,0.595,0.24,0.243,0.475,0.713,0.38280000000000003,0.3048
Andhra Pradesh,Chittoor,0.65,0.6559999999999999,0.2339999999999999,0.226,0.409,0.746,0.3758999999999999,0.26980000000000004
Andhra Pradesh,East Godavari,0.69,0.754,0.218,0.205,0.584,0.777,0.30500000000000005,0.22269999999999998
Andhra Pradesh,Guntur,0.603,0.649,0.23,0.2239999999999999,0.65,0.8340000000000001,0.3161,0.24469999999999995
Andhra Pradesh,Krishna,0.713,0.74,0.221,0.204,0.644,0.7909999999999999,0.2813,0.22230000000000005
Andhra Pradesh,Kurnool,0.5660000000000001,0.552,0.294,0.259,0.525,0.735,0.3903,0.3175
Andhra Pradesh,Prakasam,0.535,0.581,0.25,0.231,0.537,0.784,0.37839999999999996,0.2829
Andhra Pradesh,Sri Potti Sriramulu Nellore,0.606,0.679,0.2289999999999999,0.208,0.5429999999999999,0.818,0.3469,0.2341
Andhra Pradesh,Srikakulam,0.584,0.6,0.222,0.207,0.3329999999999999,0.716,0.4137,0.288
Andhra Pradesh,Visakhapatnam,0.613,0.6679999999999999,0.233,0.214,0.547,0.778,0.34519999999999995,0.2518
Andhra Pradesh,Vizianagaram,0.564,0.56,0.237,0.206,0.316,0.617,0.43079999999999996,0.3293
Andhra Pradesh,West Godavari,0.685,0.754,0.23,0.215,0.631,0.8079999999999999,0.2972,0.2174
Andhra Pradesh,Y.S.R.,0.5920000000000001,0.619,0.246,0.241,0.713,0.8540000000000001,0.30689999999999995,0.25449999999999995
Assam,Baksa,0.7190000000000001,0.741,0.283,0.265,0.5760000000000001,0.6890000000000001,0.32469999999999993,0.277
Assam,Barpeta,0.705,0.754,0.3329999999999999,0.301,0.363,0.637,0.41279999999999994,0.3031
Assam,Bongaigaon,0.7340000000000001,0.77,0.321,0.289,0.467,0.725,0.3681,0.2671
Assam,Cachar,0.78,0.805,0.301,0.309,0.376,0.5760000000000001,0.37360000000000004,0.30929999999999996
Assam,Chirang,0.672,0.715,0.312,0.28,0.331,0.7709999999999999,0.42390000000000005,0.26620000000000005
Assam,Darrang,0.705,0.752,0.315,0.292,0.4579999999999999,0.679,0.3771,0.2875
Assam,Dhemaji,0.7509999999999999,0.773,0.325,0.306,0.433,0.708,0.3748,0.2781
Assam,Dibrugarh,0.759,0.795,0.272,0.24,0.597,0.753,0.302,0.23159999999999997
Assam,Dima Hasao,0.741,0.851,0.316,0.2769999999999999,0.611,0.838,0.3208,0.20409999999999998
Assam,Goalpara,0.7340000000000001,0.785,0.34,0.3,0.475,0.753,0.37329999999999997,0.2586
Assam,Golaghat,0.8079999999999999,0.7759999999999999,0.252,0.243,0.628,0.731,0.27,0.24510000000000004
Assam,Hailakandi,0.759,0.815,0.325,0.337,0.361,0.6,0.394,0.3103
Assam,Kamrup Metropolitan,0.873,0.875,0.221,0.2,0.653,0.652,0.23059999999999997,0.22190000000000001
Assam,Kamrup,0.7609999999999999,0.794,0.278,0.256,0.55,0.687,0.31790000000000007,0.2581
Assam,Karimganj,0.8059999999999999,0.821,0.344,0.3229999999999999,0.3989999999999999,0.615,0.37610000000000005,0.29839999999999994
Assam,Kokrajhar,0.688,0.752,0.299,0.295,0.41,0.722,0.3902,0.2758
Assam,Lakhimpur,0.804,0.8320000000000001,0.298,0.281,0.493,0.742,0.33009999999999995,0.2402
Assam,Morigaon,0.755,0.7909999999999999,0.3339999999999999,0.321,0.42,0.623,0.3811,0.3042
Assam,Nalbari,0.7859999999999999,0.818,0.283,0.245,0.542,0.6809999999999999,0.31479999999999997,0.24830000000000002
Assam,Tinsukia,0.6709999999999999,0.726,0.296,0.254,0.516,0.667,0.3623,0.2837
Assam,Udalguri,0.6890000000000001,0.706,0.299,0.272,0.557,0.738,0.3458,0.2756
Bihar,Araria,0.525,0.53,0.427,0.405,0.138,0.322,0.5719000000000001,0.5064
Bihar,Arwal,0.593,0.626,0.382,0.366,0.226,0.434,0.5071,0.4284
Bihar,Aurangabad,0.612,0.65,0.367,0.352,0.275,0.471,0.4807,0.4045
Bihar,Banka,0.526,0.593,0.389,0.361,0.158,0.382,0.5504,0.45189999999999997
Bihar,Begusarai,0.5720000000000001,0.65,0.4,0.364,0.355,0.622,0.4819,0.364
Bihar,Bhagalpur,0.597,0.6509999999999999,0.382,0.351,0.3389999999999999,0.609,0.4720000000000001,0.36240000000000006
Bihar,Bhojpur,0.624,0.679,0.361,0.342,0.27,0.4589999999999999,0.47619999999999996,0.3954
Bihar,Buxar,0.665,0.648,0.37,0.327,0.294,0.524,0.4603,0.3792
Bihar,Darbhanga,0.5379999999999999,0.5489999999999999,0.413,0.371,0.282,0.487,0.5192000000000001,0.4376
Bihar,Gaya,0.562,0.596,0.3939999999999999,0.363,0.284,0.444,0.5037999999999999,0.4332
Bihar,Gopalganj,0.617,0.633,0.3829999999999999,0.346,0.289,0.601,0.48140000000000005,0.36819999999999997
Bihar,Jamui,0.53,0.531,0.39,0.37,0.157,0.376,0.5499,0.4759
Bihar,Jehanabad,0.596,0.617,0.371,0.36,0.312,0.455,0.476,0.4224
Bihar,Kaimur (Bhabua),0.614,0.623,0.382,0.358,0.22,0.591,0.5025999999999999,0.379
Bihar,Katihar,0.515,0.575,0.412,0.39,0.2269999999999999,0.446,0.5422,0.44970000000000004
Bihar,Khagaria,0.537,0.606,0.425,0.413,0.312,0.65,0.5153,0.38839999999999997
Bihar,Kishanganj,0.4679999999999999,0.56,0.406,0.3989999999999999,0.173,0.524,0.5701,0.43439999999999995
Bihar,Lakhisarai,0.601,0.612,0.391,0.3779999999999999,0.387,0.516,0.45999999999999996,0.41279999999999994
Bihar,Madhepura,0.4639999999999999,0.58,0.444,0.3829999999999999,0.142,0.346,0.5958,0.47540000000000004
Bihar,Madhubani,0.516,0.556,0.4039999999999999,0.347,0.205,0.382,0.5452999999999999,0.45740000000000003
Bihar,Munger,0.6759999999999999,0.695,0.352,0.313,0.348,0.628,0.43360000000000004,0.3283
Bihar,Muzaffarpur,0.578,0.6509999999999999,0.374,0.349,0.292,0.552,0.4886,0.37870000000000004
Bihar,Nalanda,0.5670000000000001,0.596,0.3979999999999999,0.372,0.315,0.525,0.4946,0.4125
Bihar,Nawada,0.563,0.614,0.387,0.3339999999999999,0.302,0.479,0.4953,0.40569999999999995
Bihar,Pashchim Champaran,0.528,0.598,0.414,0.365,0.216,0.433,0.5424,0.4367
Bihar,Patna,0.679,0.695,0.336,0.327,0.523,0.61,0.3738,0.3393
Bihar,Purba Champaran,0.506,0.5820000000000001,0.429,0.4,0.231,0.483,0.5505,0.4405
Bihar,Purnia,0.578,0.536,0.419,0.402,0.149,0.356,0.5495,0.4932000000000001
Bihar,Rohtas,0.672,0.705,0.366,0.327,0.272,0.69,0.46319999999999995,0.3123
Bihar,Saharsa,0.48,0.502,0.408,0.3879999999999999,0.168,0.405,0.5688,0.4831
Bihar,Samastipur,0.564,0.609,0.3979999999999999,0.3779999999999999,0.2,0.488,0.53,0.4220999999999999
Bihar,Saran,0.615,0.648,0.38,0.353,0.271,0.372,0.48619999999999997,0.4351999999999999
Bihar,Sheikhpura,0.594,0.585,0.408,0.375,0.34,0.542,0.483,0.41190000000000004
Bihar,Sheohar,0.52,0.562,0.435,0.362,0.239,0.579,0.5463,0.40249999999999997
Bihar,Sitamarhi,0.534,0.591,0.416,0.382,0.217,0.507,0.5410999999999999,0.4234
Bihar,Siwan,0.625,0.7070000000000001,0.36,0.315,0.255,0.477,0.48,0.3708
Bihar,Supaul,0.476,0.509,0.424,0.3979999999999999,0.1639999999999999,0.507,0.5776,0.4544
Bihar,Vaishali,0.5870000000000001,0.645,0.372,0.347,0.326,0.526,0.4749,0.3875
Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli,0.6890000000000001,0.708,0.289,0.268,0.326,0.631,0.4110999999999999,0.3055
Dadra & Nagar Haveli and Daman & Diu,Daman,0.8340000000000001,0.838,0.207,0.2269999999999999,0.649,0.6709999999999999,0.23789999999999994,0.23809999999999998
Dadra & Nagar Haveli and Daman & Diu,Diu,0.746,0.778,0.267,0.212,0.737,0.897,0.2619,0.18229999999999996
Goa,North Goa,0.866,0.895,0.223,0.193,0.813,0.877,0.18550000000000003,0.14559999999999998
Goa,South Goa,0.828,0.882,0.244,0.1889999999999999,0.7509999999999999,0.882,0.22390000000000004,0.14639999999999995
Gujarat,Amreli,0.6809999999999999,0.6990000000000001,0.2289999999999999,0.2269999999999999,0.754,0.733,0.26109999999999994,0.26119999999999993
Gujarat,Anand,0.777,0.752,0.248,0.222,0.6779999999999999,0.821,0.26270000000000004,0.21690000000000004
Gujarat,Banaskantha,0.557,0.611,0.305,0.292,0.387,0.539,0.43879999999999997,0.37179999999999996
Gujarat,Bharuch,0.737,0.767,0.251,0.237,0.6829999999999999,0.777,0.27440000000000003,0.23159999999999997
Gujarat,Dahod,0.579,0.596,0.384,0.356,0.206,0.359,0.5181,0.45589999999999997
